"Week","Monthly mean discharge in cubic mters per second for the period of record,Niagra River at Queenston, 1860-1990"
"1966-W50",5270
"1967-W02",5380
"1967-W06",5260
"1967-W10",5200
"1967-W14",5680
"1967-W18",5850
"1967-W22",5600
"1967-W26",5590
"1967-W30",5490
"1967-W34",5330
"1967-W38",5500
"1967-W42",5640
"1967-W46",5630
"1967-W50",5510
"1968-W02",5470
"1968-W06",6100
"1968-W10",5820
"1968-W14",5950
"1968-W18",6000
"1968-W22",6070
"1968-W26",6050
"1968-W30",5890
"1968-W34",5800
"1968-W38",5720
"1968-W42",5600
"1968-W46",5920
"1968-W50",5860
"1969-W02",5670
"1969-W06",5920
"1969-W10",5900
"1969-W14",6140
"1969-W18",6710
"1969-W22",6710
"1969-W26",6610
"1969-W30",6520
"1969-W34",6290
"1969-W38",6160
"1969-W42",6050
"1969-W46",6010
"1969-W50",6230
"1970-W02",5590
"1970-W06",5660
"1970-W10",5720
"1970-W14",6040
"1970-W18",6200
"1970-W22",6150
"1970-W26",6150
"1970-W30",5950
"1970-W34",5970
"1970-W38",5850
"1970-W42",6000
"1970-W46",6050
"1970-W50",5940
"1971-W02",6020
"1971-W06",5850
"1971-W10",6140
"1971-W14",6140
"1971-W18",6140
"1971-W22",6400
"1971-W26",6080
"1971-W30",5980
"1971-W34",5930
"1971-W38",5880
"1971-W42",5860
"1971-W46",5970
"1971-W50",6030
"1972-W02",6120
"1972-W06",5850
"1972-W10",6260
"1972-W14",6360
"1972-W18",6660
"1972-W22",6700
"1972-W26",6670
"1972-W30",6530
"1972-W34",6410
"1972-W38",6490
"1972-W42",6670
"1972-W46",7000
"1972-W50",6480
"1973-W02",6970
"1973-W06",6700
"1973-W10",7190
"1973-W14",7540
"1973-W18",7460
"1973-W22",7430
"1973-W26",7330
"1973-W30",7030
"1973-W34",6740
"1973-W38",6570
"1973-W42",6630
"1973-W46",6580
"1973-W50",7020
"1974-W02",6590
"1974-W06",6750
"1974-W10",7150
"1974-W14",7550
"1974-W18",7560
"1974-W22",7300
"1974-W26",7080
"1974-W30",6750
"1974-W34",6580
"1974-W38",6360
"1974-W42",6410
"1974-W46",6520
"1974-W50",6890
"1975-W02",6770
"1975-W06",6680
"1975-W10",6760
"1975-W14",7100
"1975-W18",6960
"1975-W22",6980
"1975-W26",6830
"1975-W30",6620
"1975-W34",6770
"1975-W38",6580
"1975-W42",6550
"1975-W46",6480
"1975-W50",6760
"1976-W02",6330
"1976-W06",6500
"1976-W10",7170
"1976-W14",7350
"1976-W18",7280
"1976-W22",7010
"1976-W26",6980
"1976-W30",6690
"1976-W34",6640
"1976-W38",6420
"1976-W42",6360
"1976-W46",5890
"1976-W50",6720
"1977-W02",5550
"1977-W06",5440
"1977-W10",5780
"1977-W14",6130
"1977-W18",6490
"1977-W22",6320
"1977-W26",6200
"1977-W30",6230
"1977-W34",6270
"1977-W38",6180
"1977-W42",6110
"1977-W46",6450
"1977-W50",6100
"1978-W02",5920
"1978-W06",5930
"1978-W10",6150
"1978-W14",6660
"1978-W18",6700
"1978-W22",6770
"1978-W26",6280
"1978-W30",6220
"1978-W34",5950
"1978-W38",5980
"1978-W42",5750
"1978-W46",5960
"1978-W50",6190
"1979-W02",5690
"1979-W06",5590
"1979-W10",5950
"1979-W14",6400
"1979-W18",6620
"1979-W22",6630
"1979-W26",6430
"1979-W30",6520
"1979-W34",6390
"1979-W38",6490
"1979-W42",6350
"1979-W46",6500
"1979-W50",6300
"1980-W02",6530
"1980-W06",6200
"1980-W10",6420
"1980-W14",6900
"1980-W18",6920
"1980-W22",6890
"1980-W26",6750
"1980-W30",6790
"1980-W34",6710
"1980-W38",6500
"1980-W42",6130
"1980-W46",6100
"1980-W50",6570
"1981-W02",5730
"1981-W06",5840
"1981-W10",6050
"1981-W14",6090
"1981-W18",6390
"1981-W22",6600
"1981-W26",6430
"1981-W30",6420
"1981-W34",6500
"1981-W38",6390
"1981-W42",6380
"1981-W46",6280
"1981-W50",6260
"1982-W02",6220
"1982-W06",5920
"1982-W10",6450
"1982-W14",6600
"1982-W18",6560
"1982-W22",6760
"1982-W26",6330
"1982-W30",6250
"1982-W34",5990
"1982-W38",5880
"1982-W42",6170
"1982-W46",6350
"1982-W50",6290
"1983-W02",6360
"1983-W06",6150
"1983-W10",6230
"1983-W14",6530
"1983-W18",6810
"1983-W22",6510
"1983-W26",6610
"1983-W30",6720
"1983-W34",6480
"1983-W38",6240
"1983-W42",6330
"1983-W46",6680
"1983-W50",6470
"1984-W02",6020
"1984-W06",6220
"1984-W10",6540
"1984-W14",6760
"1984-W18",6680
"1984-W22",6630
"1984-W26",6560
"1984-W30",6480
"1984-W34",6380
"1984-W38",6230
"1984-W42",6320
"1984-W46",6360
"1984-W50",6430
"1985-W02",6240
"1985-W06",5720
"1985-W10",6840
"1985-W14",7460
"1985-W18",7390
"1985-W22",7270
"1985-W26",6880
"1985-W30",6660
"1985-W34",6550
"1985-W38",6490
"1985-W42",6820
"1985-W46",7410
"1985-W50",6820
"1986-W02",6420
"1986-W06",6690
"1986-W10",7320
"1986-W14",7300
"1986-W18",7500
"1986-W22",7610
"1986-W26",7510
"1986-W30",7190
"1986-W34",6880
"1986-W38",7220
"1986-W42",7030
"1986-W46",7330
"1986-W50",7170
"1987-W02",7240
"1987-W06",6900
"1987-W10",6880
"1987-W14",7190
"1987-W18",6980
"1987-W22",6830
"1987-W26",6900
"1987-W30",6640
"1987-W34",6550
"1987-W38",6380
"1987-W42",6140
"1987-W46",6370
"1987-W50",6750
"1988-W02",6140
"1988-W06",6100
"1988-W10",6140
"1988-W14",6220
"1988-W18",6280
"1988-W22",6040
"1988-W26",5740
"1988-W30",5880
"1988-W34",5610
"1988-W38",5630
"1988-W42",5680
"1988-W46",5700
"1988-W50",5930
"1989-W02",5700
"1989-W06",5520
"1989-W10",5380
"1989-W14",5960
"1989-W18",6100
"1989-W22",6370
"1989-W26",6100
"1989-W30",6090
"1989-W34",5820
"1989-W38",5660
"1989-W42",5880
"1989-W46",5390
"1989-W50",5830
"1990-W02",5540
"1990-W06",5790
"1990-W10",6020
"1990-W14",6290
"1990-W18",6320
"1990-W22",6180
"1990-W26",5900
"1990-W30",5940
"1990-W34",6060
"1990-W38",6040
"1990-W42",5950
"1990-W46",6130
"1990-W50",6010

Monthly mean discharge in cubic mters per second for the period of record,Niagra River at Queenston, 1860-1990

